"Function Code","Parameter Num","Parameter","Units","Start Byte","Type","Size bytes","Item Description"
0x1550001,1,"APPLYIFCONVERGED","ENUM","0","ENUM","4","Automatically apply the calculated bias if the iteration converges."
0x1550002,1,"DISPOSITION","ENUM","0","ENUM","4","What to do"
0x1560001,1,"APPLYIFCONVERGED","ENUM","0","ENUM","4","Automatically apply the calculated bias if the iteration converges."
0x1560002,1,"DISPOSITION","ENUM","0","ENUM","4","What to do"
0x1ae0002,1,"ID","ENUM","0","ENUM","4","ActsInSet container ID"
0x1ae0003,1,"ID","ENUM","0","ENUM","4","ActsInSet container ID"
0x1af0002,1,"ID","ENUM","0","ENUM","4","ActsInSet container ID"
0x1af0003,1,"ID","ENUM","0","ENUM","4","ActsInSet container ID"
0x1900002,1,"ID","ENUM","0","ENUM","4","ActsInSet container ID"
0x1900003,1,"ID","ENUM","0","ENUM","4","ActsInSet container ID"
0x1900004,1,"WHEELSTATE","ENUM","0","ENUM","4","State to set the RW controller"
0x1900007,1,"ID","ENUM","0","ENUM","4","ActsInSet container ID"
0x1900007,2,"NULLVECCOMPONENTVALUE","none","8","DFP","8","Null vector component value"
0x1920002,1,"ID","ENUM","0","ENUM","4","ActsInSet container ID"
0x1920003,1,"ID","ENUM","0","ENUM","4","ActsInSet container ID"
0x1920004,1,"WHEELSTATE","ENUM","0","ENUM","4","State to set the RW controller"
0x1920007,1,"ID","ENUM","0","ENUM","4","ActsInSet container ID"
0x1920007,2,"NULLVECCOMPONENTVALUE","none","8","DFP","8","Null vector component value"
0x1cc0002,1,"ID","ENUM","0","ENUM","4","ActsInSet container ID"
0x1cc0003,1,"ID","ENUM","0","ENUM","4","ActsInSet container ID"
0x1cc0004,1,"ID","ENUM","0","ENUM","4","ActsInSet container ID"
0x1cc0004,2,"NULLVECCOMPONENTVALUE","none","8","DFP","8","Null vector component value"
0x1cc0005,1,"THRSTATE","ENUM","0","ENUM","4","State to set the thruster controller"
0x1cc0006,1,"FIREDURATION_S","s","0","DFP","8","Firing duration"
0x1cc0006,2,"THROTTLEFRACTION","none","8","DFP","8","Throttle fraction (0 to 1)"
0x1cc0007,1,"ID","ENUM","0","ENUM","4","ActsInSet container ID"
0x1cc0007,2,"FIREDURATION_S","s","8","DFP","8","Firing duration"
0x1cc0007,3,"THROTTLEFRACTION","none","16","DFP","8","Throttle fraction (0 to 1)"
0x1cc0009,1,"ID","ENUM","0","ENUM","4","ActsInSet container ID"
0x1cd0002,1,"ID","ENUM","0","ENUM","4","ActsInSet container ID"
0x1cd0003,1,"ID","ENUM","0","ENUM","4","ActsInSet container ID"
0x1cd0004,1,"ID","ENUM","0","ENUM","4","ActsInSet container ID"
0x1cd0004,2,"NULLVECCOMPONENTVALUE","none","8","DFP","8","Null vector component value"
0x1cd0005,1,"THRSTATE","ENUM","0","ENUM","4","State to set the thruster controller"
0x1cd0006,1,"FIREDURATION_S","s","0","DFP","8","Firing duration"
0x1cd0006,2,"THROTTLEFRACTION","none","8","DFP","8","Throttle fraction (0 to 1)"
0x1cd0007,1,"ID","ENUM","0","ENUM","4","ActsInSet container ID"
0x1cd0007,2,"FIREDURATION_S","s","8","DFP","8","Firing duration"
0x1cd0007,3,"THROTTLEFRACTION","none","16","DFP","8","Throttle fraction (0 to 1)"
0x1cd0009,1,"ID","ENUM","0","ENUM","4","ActsInSet container ID"
0x2580002,1,"Q_CBI2BDY0","none","0","DFP","8","Specified attitude Q0"
0x2580002,2,"Q_CBI2BDY1","none","8","DFP","8","Specified attitude Q1"
0x2580002,3,"Q_CBI2BDY2","none","16","DFP","8","Specified attitude Q2"
0x2580002,4,"Q_CBI2BDY3","none","24","DFP","8","Specified attitude Q3"
0x258000b,1,"ID","ENUM","0","ENUM","4","ADSensor container ID"
0x38e0000,1,"STATE","ENUM","0","ENUM","4","Set State"
0x2620000,1,"TABLE","ENUM","0","ENUM","4","Choose the table to edit"
0x2620000,2,"EPOCH_S","s","8","DFP","8","Time epoch of the entry"
0x2620000,3,"POSX_M","m","16","DFP","8","Position at the epoch (CBF for SurfaceTargets; CBI for Orbiting Targets)"
0x2620000,4,"POSY_M","m","24","DFP","8","Position at the epoch (CBF for SurfaceTargets; CBI for Orbiting Targets)"
0x2620000,5,"POSZ_M","m","32","DFP","8","Position at the epoch (CBF for SurfaceTargets; CBI for Orbiting Targets)"
0x2620000,6,"VELX_MPS","m/s","40","DFP","8","Velocity at the epoch (CBF for SurfaceTargets; CBI for Orbiting Targets)"
0x2620000,7,"VELY_MPS","m/s","48","DFP","8","Velocity at the epoch (CBF for SurfaceTargets; CBI for Orbiting Targets)"
0x2620000,8,"VELZ_MPS","m/s","56","DFP","8","Velocity at the epoch (CBF for SurfaceTargets; CBI for Orbiting Targets)"
0x2620001,1,"TABLE","ENUM","0","ENUM","4","Choose the table to edit"
0x2620001,2,"EPOCH_S","s","8","DFP","8","Time epoch of the entry to remove"
0x2620002,1,"TABLE","ENUM","0","ENUM","4","Choose the table to clear"
0x2620003,1,"TARGET","ENUM","0","ENUM","4","Set the target properties for this target"
0x2620003,2,"ARGTYPE","ENUM","4","ENUM","4","Defines type and units of input arguments"
0x2620003,3,"ARG0","none","8","DFP","8","VECTOR_Arg"
0x2620003,4,"ARG1","none","16","DFP","8","VECTOR_Arg"
0x2620003,5,"ARG2","none","24","DFP","8","VECTOR_Arg"
0x2620004,1,"TARGET","ENUM","0","ENUM","4","Set the target properties for this target"
0x2620004,2,"GROUNDSPEED_KMPS","km/s","8","DFP","8","Ground speed of scan, determines scan duration"
0x2620004,3,"ARGTYPE","ENUM","16","ENUM","4","Defines type and units of input arguments"
0x2620004,4,"STARTARG0","none","24","DFP","8","Argument 0"
0x2620004,5,"STARTARG1","none","32","DFP","8","Argument 1"
0x2620004,6,"STARTARG2","none","40","DFP","8","Argument 2"
0x2620004,7,"ENDARG0","none","48","DFP","8","Argument 0"
0x2620004,8,"ENDARG1","none","56","DFP","8","Argument 1"
0x2620004,9,"ENDARG2","none","64","DFP","8","Argument 2"
0x2620004,10,"SCANINTERPTYPE","ENUM","72","ENUM","4","Scan interpolation method"
0x2620005,1,"ENABLED","ENUM","0","ENUM","4","Set condition"
0x2bc0000,1,"IDLEMODE","ENUM","0","ENUM","4","The Idle mode to transition to"
0x2bc0001,1,"HOLDMODE","ENUM","0","ENUM","4","The Hold mode to transition to"
0x2bc0002,1,"RATEDAMPMODE","ENUM","0","ENUM","4","The Rate Damp mode to transition to"
0x2bc0003,1,"SUNACQMODE","ENUM","0","ENUM","4","The sun acquisition mode to transition to"
0x2bc0004,1,"SLEWTIME_S","s","0","DFP","8","Duration of slew.  If time less than capabilities optimal slew time will be computed."
0x2bc0004,2,"SLEWMODE","ENUM","8","ENUM","4","The Slew mode to use (EigenSlew or RendezSlew)"
0x2bc0004,3,"TRACKMODE","ENUM","12","ENUM","4","The Tracking mode to slew to"
0x2bc0004,4,"CLOCKINGOPTION","ENUM","16","ENUM","4","The track mode clocking option.  If user selects same as align vector defaults to inertial clock."
0x2bc0005,1,"SLEWTIME_S","s","0","DFP","8","Duration of slew.  If time less than capabilities optimal slew time will be computed."
0x2bc0005,2,"SLEWMODE","ENUM","8","ENUM","4","The Slew mode to use (EigenSlew or RendezSlew)"
0x2bc0005,3,"TRACKMODE","ENUM","12","ENUM","4","The Tracking mode to slew to"
0x2bc0005,4,"CLOCKINGOPTION","ENUM","16","ENUM","4","The track mode clocking option.  If user selects same as align vector defaults to inertial clock."
0x2bc0005,5,"CLOCKINGCELESTIALBODY","ENUM","20","ENUM","4","Select celestial body of the clocking ephemeris reference "
0x2bc0006,1,"SLEWTIME_S","s","0","DFP","8","Duration of slew.  If time less than capabilities, optimal slew time will be computed."
0x2bc0006,2,"SLEWMODE","ENUM","8","ENUM","4","The Slew mode to use (EigenSlew or RendezSlew)"
0x2bc0006,3,"Q_CBI2BDY0","none","16","DFP","8","Target attitude Q0"
0x2bc0006,4,"Q_CBI2BDY1","none","24","DFP","8","Target attitude Q1"
0x2bc0006,5,"Q_CBI2BDY2","none","32","DFP","8","Target attitude Q2"
0x2bc0006,6,"Q_CBI2BDY3","none","40","DFP","8","Target attitude Q3"
0x2bc0007,1,"SLEWTIME_S","s","0","DFP","8","Duration of slew.  If time less than capabilities, optimal slew time will be computed."
0x2bc0007,2,"SLEWMODE","ENUM","8","ENUM","4","The Slew mode to use (EigenSlew or RendezSlew)"
0x2bc0007,3,"SLEWANGLE_DEG","deg","16","DFP","8","Angle to slew"
0x2bc0007,4,"SLEWAXIS_UBDYX","Uvec","24","DFP","8","Body slew axis 0"
0x2bc0007,5,"SLEWAXIS_UBDYY","Uvec","32","DFP","8","Body slew axis 1"
0x2bc0007,6,"SLEWAXIS_UBDYZ","Uvec","40","DFP","8","Body slew axis 2"
0x26c0000,1,"BUSCONFIG","ENUM","0","ENUM","4","Selected Bus Configuration"
0x26c0001,1,"ATTCONTROLLER","ENUM","0","ENUM","4","Selected Attitude Controller"
0x26c0002,1,"MOMCONTROLLER","ENUM","0","ENUM","4","Selected Momentum Controller"
0x26c0003,1,"MISSIONMODE","ENUM","0","ENUM","4","Selected mission mode"
0xe60000,1,"ID","ENUM","0","ENUM","4","HwrPtrs container ID"
0xe60000,2,"E_CONNECTIONSTATE","ENUM","4","ENUM","4","Is the hardware driver or model connected?"
0xe60001,1,"E_CONNECTIONSTATE","ENUM","0","ENUM","4","Is the hardware driver or model connected?"
0xc80000,1,"ID","ENUM","0","ENUM","4","HwrPtrs container ID"
0xc80000,2,"E_CONNECTIONSTATE","ENUM","4","ENUM","4","Is the hardware driver or model connected?"
0xc80001,1,"E_CONNECTIONSTATE","ENUM","0","ENUM","4","Is the hardware driver or model connected?"
0x1040000,1,"ID","ENUM","0","ENUM","4","HwrPtrs container ID"
0x1040000,2,"E_CONNECTIONSTATE","ENUM","4","ENUM","4","Is the hardware driver or model connected?"
0x1040001,1,"E_CONNECTIONSTATE","ENUM","0","ENUM","4","Is the hardware driver or model connected?"
0xaa0000,1,"ID","ENUM","0","ENUM","4","HwrPtrs container ID"
0xaa0000,2,"E_CONNECTIONSTATE","ENUM","4","ENUM","4","Is the hardware driver or model connected?"
0xaa0001,1,"E_CONNECTIONSTATE","ENUM","0","ENUM","4","Is the hardware driver or model connected?"
0xa00000,1,"ID","ENUM","0","ENUM","4","HwrPtrs container ID"
0xa00000,2,"E_CONNECTIONSTATE","ENUM","4","ENUM","4","Is the hardware driver or model connected?"
0xa00001,1,"E_CONNECTIONSTATE","ENUM","0","ENUM","4","Is the hardware driver or model connected?"
0xa00002,1,"ENABLE","ENUM","0","ENUM","4","If true, run setup.  If false, revert setup."
0xa00003,1,"ID","ENUM","0","ENUM","4","HwrPtrs container ID"
0xa00003,2,"ENABLE","ENUM","4","ENUM","4","If true, run setup.  If false, revert setup."
0x960000,1,"ID","ENUM","0","ENUM","4","HwrPtrs container ID"
0x960000,2,"E_CONNECTIONSTATE","ENUM","4","ENUM","4","Is the hardware driver or model connected?"
0x960001,1,"E_CONNECTIONSTATE","ENUM","0","ENUM","4","Is the hardware driver or model connected?"
0x960002,1,"ENABLE","ENUM","0","ENUM","4","If true, run setup.  If false, revert setup."
0x960003,1,"ID","ENUM","0","ENUM","4","HwrPtrs container ID"
0x960003,2,"ENABLE","ENUM","4","ENUM","4","If true, run setup.  If false, revert setup."
0x6e0000,1,"ID","ENUM","0","ENUM","4","HwrPtrs container ID"
0x6e0000,2,"E_CONNECTIONSTATE","ENUM","4","ENUM","4","Is the hardware driver or model connected?"
0x6e0001,1,"E_CONNECTIONSTATE","ENUM","0","ENUM","4","Is the hardware driver or model connected?"
0x6e0002,1,"ENABLE","ENUM","0","ENUM","4","If true, run setup.  If false, revert setup."
0x6e0003,1,"ID","ENUM","0","ENUM","4","HwrPtrs container ID"
0x6e0003,2,"ENABLE","ENUM","4","ENUM","4","If true, run setup.  If false, revert setup."
0x8c0000,1,"ID","ENUM","0","ENUM","4","HwrPtrs container ID"
0x8c0000,2,"E_CONNECTIONSTATE","ENUM","4","ENUM","4","Is the hardware driver or model connected?"
0x8c0001,1,"E_CONNECTIONSTATE","ENUM","0","ENUM","4","Is the hardware driver or model connected?"
0x8c0002,1,"ENABLE","ENUM","0","ENUM","4","If true, run setup.  If false, revert setup."
0x8c0003,1,"ID","ENUM","0","ENUM","4","HwrPtrs container ID"
0x8c0003,2,"ENABLE","ENUM","4","ENUM","4","If true, run setup.  If false, revert setup."
0x640000,1,"ID","ENUM","0","ENUM","4","HwrPtrs container ID"
0x640000,2,"E_CONNECTIONSTATE","ENUM","4","ENUM","4","Is the hardware driver or model connected?"
0x640001,1,"E_CONNECTIONSTATE","ENUM","0","ENUM","4","Is the hardware driver or model connected?"
0x640002,1,"ENABLE","ENUM","0","ENUM","4","If true, run setup.  If false, revert setup."
0x640003,1,"ID","ENUM","0","ENUM","4","HwrPtrs container ID"
0x640003,2,"ENABLE","ENUM","4","ENUM","4","If true, run setup.  If false, revert setup."
0x780000,1,"ID","ENUM","0","ENUM","4","HwrPtrs container ID"
0x780000,2,"E_CONNECTIONSTATE","ENUM","4","ENUM","4","Is the hardware driver or model connected?"
0x780001,1,"E_CONNECTIONSTATE","ENUM","0","ENUM","4","Is the hardware driver or model connected?"
0x780002,1,"ENABLE","ENUM","0","ENUM","4","If true, run setup.  If false, revert setup."
0x780003,1,"ID","ENUM","0","ENUM","4","HwrPtrs container ID"
0x780003,2,"ENABLE","ENUM","4","ENUM","4","If true, run setup.  If false, revert setup."
0x820000,1,"ID","ENUM","0","ENUM","4","HwrPtrs container ID"
0x820000,2,"E_CONNECTIONSTATE","ENUM","4","ENUM","4","Is the hardware driver or model connected?"
0x820001,1,"E_CONNECTIONSTATE","ENUM","0","ENUM","4","Is the hardware driver or model connected?"
0x820002,1,"ENABLE","ENUM","0","ENUM","4","If true, run setup.  If false, revert setup."
0x820003,1,"ID","ENUM","0","ENUM","4","HwrPtrs container ID"
0x820003,2,"ENABLE","ENUM","4","ENUM","4","If true, run setup.  If false, revert setup."
0xbb80000,1,"STATE","ENUM","0","ENUM","4","Set State"
0xbb80001,1,"STATE","ENUM","0","ENUM","4","Set State"
0xbb90000,1,"STATE","ENUM","0","ENUM","4","Set State"
0xbb90001,1,"STATE","ENUM","0","ENUM","4","Set State"
0x8430000,1,"SURFACEINDEX","none","0","UI","2","Index of the surface"
0x8430000,2,"E_SURFACESTATE","ENUM","4","ENUM","4","State to set the given surface"
0x8ca0000,1,"BUSCONFIG","ENUM","0","ENUM","4","Selected Bus Configuration"
0x8ca0001,1,"BUSCONFIGINDEX","none","0","UB","1","The bus mass properties configuration within the ODY_VehicleState BusConfigs container"
0x8ca0001,2,"DELTATIME","s","8","DFP","8","Transition time between old and new bus configuration (e.g. deployment time)"
0x8ca0001,3,"IMPULSE_BDYX","N*s","16","DFP","8","Impulse applied over the transition dt (e.g. due to docking)"
0x8ca0001,4,"IMPULSE_BDYY","N*s","24","DFP","8","Impulse applied over the transition dt (e.g. due to docking)"
