"Function Code","Enum Name","Enum Value","Item Description","Parameter","Dependant Parameter","Dependant Enum Name"
0x1550001,"FALSE","0","FALSE","APPLYIFCONVERGED","NULL","NULL"
0x1550001,"TRUE","1","TRUE","APPLYIFCONVERGED","NULL","NULL"
0x1550002,"PAUSE","0","PAUSE","DISPOSITION","NULL","NULL"
0x1550002,"REJECT","1","REJECT","DISPOSITION","NULL","NULL"
0x1550002,"APPLY","2","APPLY","DISPOSITION","NULL","NULL"
0x1550002,"FORCE_APPLY","3","FORCE_APPLY","DISPOSITION","NULL","NULL"
0x1560001,"FALSE","0","FALSE","APPLYIFCONVERGED","NULL","NULL"
0x1560001,"TRUE","1","TRUE","APPLYIFCONVERGED","NULL","NULL"
0x1560002,"PAUSE","0","PAUSE","DISPOSITION","NULL","NULL"
0x1560002,"REJECT","1","REJECT","DISPOSITION","NULL","NULL"
0x1560002,"APPLY","2","APPLY","DISPOSITION","NULL","NULL"
0x1560002,"FORCE_APPLY","3","FORCE_APPLY","DISPOSITION","NULL","NULL"
0x1ae0002,"Magnetic_Torquer_1","0","Magnetic_Torquer_1","ID","NULL","NULL"
0x1ae0002,"Magnetic_Torquer_2","1","Magnetic_Torquer_2","ID","NULL","NULL"
0x1ae0003,"Magnetic_Torquer_1","0","Magnetic_Torquer_1","ID","NULL","NULL"
0x1ae0003,"Magnetic_Torquer_2","1","Magnetic_Torquer_2","ID","NULL","NULL"
0x1af0002,"Magnetic_Torquer_2","0","Magnetic_Torquer_2","ID","NULL","NULL"
0x1af0003,"Magnetic_Torquer_2","0","Magnetic_Torquer_2","ID","NULL","NULL"
0x1900002,"Reaction_Wheel_1","0","Reaction_Wheel_1","ID","NULL","NULL"
0x1900002,"Reaction_Wheel_2","1","Reaction_Wheel_2","ID","NULL","NULL"
0x1900002,"Reaction_Wheel_3","2","Reaction_Wheel_3","ID","NULL","NULL"
0x1900002,"Reaction_Wheel_4","3","Reaction_Wheel_4","ID","NULL","NULL"
0x1900003,"Reaction_Wheel_1","0","Reaction_Wheel_1","ID","NULL","NULL"
0x1900003,"Reaction_Wheel_2","1","Reaction_Wheel_2","ID","NULL","NULL"
0x1900003,"Reaction_Wheel_3","2","Reaction_Wheel_3","ID","NULL","NULL"
0x1900003,"Reaction_Wheel_4","3","Reaction_Wheel_4","ID","NULL","NULL"
0x1900004,"BYPASS","0","BYPASS","WHEELSTATE","NULL","NULL"
0x1900004,"COMPENSATE","1","COMPENSATE","WHEELSTATE","NULL","NULL"
0x1900004,"GOTO_SPEED","2","GOTO_SPEED","WHEELSTATE","NULL","NULL"
