"Function Code","Mnemonic","Long Name","Group","Number Of Parameters","Data Field Length Bytes","Description","Variable Size"
0x19a0000,"RWP0_RESET_SPD_FILTER","Reaction Wheel_1 RESET_SPD_FILTER","Actuator Processing","0","0","Reset the speed controller","False"
0x19b0000,"RWP1_RESET_SPD_FILTER","Reaction Wheel_2 RESET_SPD_FILTER","Actuator Processing","0","0","Reset the speed controller","False"
0x19c0000,"RWP2_RESET_SPD_FILTER","Reaction Wheel_3 RESET_SPD_FILTER","Actuator Processing","0","0","Reset the speed controller","False"
0x19d0000,"RWP3_RESET_SPD_FILTER","Reaction Wheel_4 RESET_SPD_FILTER","Actuator Processing","0","0","Reset the speed controller","False"
0x15f0000,"HSP0_RESET_FILTERS","HRZ_1 Reset Filters","Sensor Processing","0","0","Reset the filters","False"
0x1600000,"HSP1_RESET_FILTERS","HRZ_2 Reset Filters","Sensor Processing","0","0","Reset the filters","False"
0x1550000,"MSP0_RESET_FILTERS","MAG_1 Reset Filters","Sensor Processing","0","0","Reset the filters","False"
0x1550001,"MSP0_INIT_CAL","MAG_1 Start Bias Calibration","Sensor Processing","1","4","Starts/restarts/continues an onboard magnetometer bias calibration.","False"
0x1550002,"MSP0_FINISH_CAL","MAG_1 Finish Bias Calibration","Sensor Processing","1","4","Pause or finish calibration and descide what to do with results","False"
0x1560000,"MSP1_RESET_FILTERS","MAG_2 Reset Filters","Sensor Processing","0","0","Reset the filters","False"
0x1560001,"MSP1_INIT_CAL","MAG_2 Start Bias Calibration","Sensor Processing","1","4","Starts/restarts/continues an onboard magnetometer bias calibration.","False"
0x1560002,"MSP1_FINISH_CAL","MAG_2 Finish Bias Calibration","Sensor Processing","1","4","Pause or finish calibration and descide what to do with results","False"
0x1ae0000,"APM0_ENABLE_SET","Magnetic Torquer Sets  ENABLE_SET","Actuator Sets","0","0","Enable commanding and processing for this set processor","False"
0x1ae0001,"APM0_DISABLE_SET","Magnetic Torquer Sets  DISABLE_SET","Actuator Sets","0","0","Disable commanding and processing for this set processor","False"
0x1ae0002,"APM0_ENABLE_ACTUATOR","Magnetic Torquer Sets  ENABLE_ACTUATOR","Actuator Sets","1","4","Turn on the commanding and processing of a connected actuator","False"
0x1ae0003,"APM0_DISABLE_ACTUATOR","Magnetic Torquer Sets  DISABLE_ACTUATOR","Actuator Sets","1","4","Turn off the commanding and processing of a connected actuator","False"
0x1af0000,"APM1_ENABLE_SET","Magnetic Torquer Sets  2 ENABLE_SET","Actuator Sets","0","0","Enable commanding and processing for this set processor","False"
0x1af0001,"APM1_DISABLE_SET","Magnetic Torquer Sets  2 DISABLE_SET","Actuator Sets","0","0","Disable commanding and processing for this set processor","False"
0x1af0002,"APM1_ENABLE_ACTUATOR","Magnetic Torquer Sets  2 ENABLE_ACTUATOR","Actuator Sets","1","4","Turn on the commanding and processing of a connected actuator","False"
0x1af0003,"APM1_DISABLE_ACTUATOR","Magnetic Torquer Sets  2 DISABLE_ACTUATOR","Actuator Sets","1","4","Turn off the commanding and processing of a connected actuator","False"
0x1900000,"APR0_ENABLE_SET","Reaction Wheel Sets  ENABLE_SET","Actuator Sets","0","0","Enable commanding and processing for this set processor","False"
0x1900001,"APR0_DISABLE_SET","Reaction Wheel Sets  DISABLE_SET","Actuator Sets","0","0","Disable commanding and processing for this set processor","False"
0x1900002,"APR0_ENABLE_ACTUATOR","Reaction Wheel Sets  ENABLE_ACTUATOR","Actuator Sets","1","4","Turn on the commanding and processing of a connected actuator","False"
0x1900003,"APR0_DISABLE_ACTUATOR","Reaction Wheel Sets  DISABLE_ACTUATOR","Actuator Sets","1","4","Turn off the commanding and processing of a connected actuator","False"
0x1900004,"APR0_SET_WHEEL_STATE","Reaction Wheel Sets  SET_WHEEL_STATE","Actuator Sets","1","4","Set the wheel speed state for all wheels","False"
0x1900005,"APR0_ENABLE_NULLSPCCNTRL","Reaction Wheel Sets  ENABLE_NULLSPCCNTRL","Actuator Sets","0","0","Set the wheel null space controller state to enabled","False"
0x1900006,"APR0_DISABLE_NULLSPCCNTRL","Reaction Wheel Sets  DISABLE_NULLSPCCNTRL","Actuator Sets","0","0","Set the wheel null space controller state to disabled","False"
0x1900007,"APR0_SET_NULL_VEC_COMPONENT","Reaction Wheel Sets  SET_NULL_VEC_COMPONENT","Actuator Sets","2","16","Set the null vector component for a given reaction wheel in set","False"
0x1920000,"APR1_ENABLE_SET","Reaction Wheel Sets  2 ENABLE_SET","Actuator Sets","0","0","Enable commanding and processing for this set processor","False"
0x1920001,"APR1_DISABLE_SET","Reaction Wheel Sets  2 DISABLE_SET","Actuator Sets","0","0","Disable commanding and processing for this set processor","False"
0x1920002,"APR1_ENABLE_ACTUATOR","Reaction Wheel Sets  2 ENABLE_ACTUATOR","Actuator Sets","1","4","Turn on the commanding and processing of a connected actuator","False"
0x1920003,"APR1_DISABLE_ACTUATOR","Reaction Wheel Sets  2 DISABLE_ACTUATOR","Actuator Sets","1","4","Turn off the commanding and processing of a connected actuator","False"
0x1920004,"APR1_SET_WHEEL_STATE","Reaction Wheel Sets  2 SET_WHEEL_STATE","Actuator Sets","1","4","Set the wheel speed state for all wheels","False"
0x1920005,"APR1_ENABLE_NULLSPCCNTRL","Reaction Wheel Sets  2 ENABLE_NULLSPCCNTRL","Actuator Sets","0","0","Set the wheel null space controller state to enabled","False"
0x1920006,"APR1_DISABLE_NULLSPCCNTRL","Reaction Wheel Sets  2 DISABLE_NULLSPCCNTRL","Actuator Sets","0","0","Set the wheel null space controller state to disabled","False"
