"APID","Order","Mnemonic","Long Name","Units","Start Byte","Length Bytes","Type","Item Description","Format"
430,0,"APM0_ISENABLED","Magnetic Torquer Sets  IsEnabled","bool","0","4","ENUM","Is this processor enabled?","%s"
430,1,"APM0_ESTTORQUE_BDYX","Magnetic Torquer Sets  EstTorque_BDYX","N*m","8","8","DFP","Estimated torque in the body frame this execution frame","%1.17g"
430,2,"APM0_ESTTORQUE_BDYY","Magnetic Torquer Sets  EstTorque_BDYY","N*m","16","8","DFP","Estimated torque in the body frame this execution frame","%1.17g"
430,3,"APM0_ESTTORQUE_BDYZ","Magnetic Torquer Sets  EstTorque_BDYZ","N*m","24","8","DFP","Estimated torque in the body frame this execution frame","%1.17g"
430,4,"APM0_CMDTRQ_BDYX","Magnetic Torquer Sets  CmdTrq_BDYX","N*m","32","8","DFP","Commanded torque in the body frame this execution frame","%1.17g"
430,5,"APM0_CMDTRQ_BDYY","Magnetic Torquer Sets  CmdTrq_BDYY","N*m","40","8","DFP","Commanded torque in the body frame this execution frame","%1.17g"
430,6,"APM0_CMDTRQ_BDYZ","Magnetic Torquer Sets  CmdTrq_BDYZ","N*m","48","8","DFP","Commanded torque in the body frame this execution frame","%1.17g"
430,7,"APM0_AVEPWTRQ_BDYX","Magnetic Torquer Sets  AvePwTrq_BDYX","N*m","56","8","DFP","Estimated torque in the body frame averaged over the command period","%1.17g"
430,8,"APM0_AVEPWTRQ_BDYY","Magnetic Torquer Sets  AvePwTrq_BDYY","N*m","64","8","DFP","Estimated torque in the body frame averaged over the command period","%1.17g"
430,9,"APM0_AVEPWTRQ_BDYZ","Magnetic Torquer Sets  AvePwTrq_BDYZ","N*m","72","8","DFP","Estimated torque in the body frame averaged over the command period","%1.17g"
430,10,"APM0_AVEPWDIPOLE_BDYX","Magnetic Torquer Sets  AvePwDipole_BDYX","A*m^2","80","8","DFP","Estimated dipole in the body frame averaged over the command period","%1.17g"
430,11,"APM0_AVEPWDIPOLE_BDYY","Magnetic Torquer Sets  AvePwDipole_BDYY","A*m^2","88","8","DFP","Estimated dipole in the body frame averaged over the command period","%1.17g"
430,12,"APM0_AVEPWDIPOLE_BDYZ","Magnetic Torquer Sets  AvePwDipole_BDYZ","A*m^2","96","8","DFP","Estimated dipole in the body frame averaged over the command period","%1.17g"
430,13,"APM0_DIPOLECMD_BDYX","Magnetic Torquer Sets  DipoleCmd_BDYX","A*m^2","104","8","DFP","Commanded dipole in the body frame this execution frame","%1.17g"
430,14,"APM0_DIPOLECMD_BDYY","Magnetic Torquer Sets  DipoleCmd_BDYY","A*m^2","112","8","DFP","Commanded dipole in the body frame this execution frame","%1.17g"
430,15,"APM0_DIPOLECMD_BDYZ","Magnetic Torquer Sets  DipoleCmd_BDYZ","A*m^2","120","8","DFP","Commanded dipole in the body frame this execution frame","%1.17g"
431,0,"APM1_ISENABLED","Magnetic Torquer Sets  2 IsEnabled","bool","0","4","ENUM","Is this processor enabled?","%s"
431,1,"APM1_ESTTORQUE_BDYX","Magnetic Torquer Sets  2 EstTorque_BDYX","N*m","8","8","DFP","Estimated torque in the body frame this execution frame","%1.17g"
431,2,"APM1_ESTTORQUE_BDYY","Magnetic Torquer Sets  2 EstTorque_BDYY","N*m","16","8","DFP","Estimated torque in the body frame this execution frame","%1.17g"
431,3,"APM1_ESTTORQUE_BDYZ","Magnetic Torquer Sets  2 EstTorque_BDYZ","N*m","24","8","DFP","Estimated torque in the body frame this execution frame","%1.17g"
