"APID","Mnemonic","Long Name","Group","Description","Data Bytes","Variable Size"
600,"ATD_ADSUMMARY","AD_Summary","Attitude Determination","FSW_AttDetermination Description",104,"False"
602,"ATD_ADINIT","AD_Init","Attitude Determination","FSW_AttDetermination Description",80,"False"
603,"ATD_ADDETAILS","AD_Details","Attitude Determination","FSW_AttDetermination Description",168,"False"
610,"EPH_FSW_EPHEMERIS","EphemSummary","Ephemeris","FSW_Ephemeris Description",544,"False"
611,"EPH_PROPAGATOR","Propagator","Ephemeris","FSW_Ephemeris Description",8,"False"
800,"GID_FSW_GUIDANCE","Guidance","Guidance","FSW_Guidance Description",88,"False"
700,"MDC_FSW_MODECONTROLLER","Mode Control","Mode Control","FSW_ModeController Description",28,"False"
620,"VEH_FSW_VEHICLESTATE","Vehicle State","Vehicle State","FSW_VehicleState Description",360,"False"
860,"GES_FSC_GUI_EIGENSLEW","EigenSlew","Guidance","FSC_Gui_EigenSlew Description",4,"False"
830,"GRD_FSC_GUI_RATEDAMP","RateDamp","Guidance","FSC_Gui_RateDamp Description",16,"False"
870,"GRS_FSC_GUI_RENDEZSLEW","RendezSlew","Guidance","FSC_Gui_RendezSlew Description",8,"False"
840,"GSA_FSC_GUI_SUNACQ","SunAcq","Guidance","FSC_Gui_SunAcq Description",32,"False"
850,"GTR_FSC_GUI_TRACKING","Tracking","Guidance","FSC_Gui_Tracking Description",104,"False"
1002,"ACS_CMD_MGR","ADCS Cmd Manager","Command & Data Handling","ADCS Command Manager",16,"False"
1003,"ACS_TIME_MGR","ADCS Time Manager","Command & Data Handling","ADCS Time Manager",48,"False"
2300,"OEP_ODY_EPHEMERIS","ODY Ephemeris","ODySSy Ephemeris","ODY_Ephemeris Description",432,"False"
2200,"OEM_EOM_SUMMARY","ODY_EOM_Summary","ODySSy Dynamics","ODY_EquationsOfMotion Description",256,"False"
2201,"OEM_EOM_DETAILS","ODY_EOM_Details","ODySSy Dynamics","ODY_EquationsOfMotion Description",112,"False"
2000,"OMG_MGR","ODY Manager","ODySSy Manager","ODY Manager",16,"False"
2999,"OER_ODY_SIMERROR","ODY Pointing Error","ODySSy Pointing Error","ODY_SimError Description",192,"False"
2250,"OVS_ODY_VEHICLESTATE","ODY Vehicle State","ODySSy Vehicle State","ODY_VehicleState Description",152,"False"
1000,"STK_STK_DATAHANDLER","STK","SOLIS Simulation","STK_DataHandler Description",272,"False"
5000,"CMD_HIST_MGR","Command History Manager","Command & Data Handling","Command History Manager",16,"False"
5200,"EVR_MGR","Event Reporting Manager","Command & Data Handling","Event Reporting Manager",512,"True"
5100,"MISC_MGR","Misc Manager","Command & Data Handling","Misc Manager",136,"False"
5600,"PLD_REC_PKT_TLM","Payload Rec Pkt Tlm","Command & Data Handling","Payload Recorded Packet Tlm",80,"False"
5700,"RT_TLM_COMM","Real-Time Telmetry","Command & Data Handling","Real-Time Telmetry Communications",8,"False"
1052,"CMD_TLM_CMD_MGR","Cmd & Tlm Cmd Manager","Command Sequencing","Cmd & Tlm Command Manager",16,"False"
1053,"CMD_TLM_TIME_MGR","Cmd & Tlm Time Manager","Command Sequencing","Cmd & Tlm Time Manager",48,"False"
1082,"EPS_CMD_MGR","EPS Cmd Manager","Command & Data Handling","EPS Command Manager",16,"False"
1083,"EPS_TIME_MGR","EPS Time Manager","Command & Data Handling","EPS Time Manager",48,"False"
2500,"OPW_MDL","ODY Power Model","ODySSy Power Thermal","ODY Power Model",80,"False"
60030,"FDM_FDL_DATA","File Download Data","Command & Data Handling","File Download Data",536,"True"
7200,"FDM_FDL_MGR","File Download Manager","Command & Data Handling","File Download Manager",168,"False"
7100,"FUM_FUL_MGR","File Upload","Command & Data Handling","File Upload Manager",80,"False"
60002,"FILE_CMD_MGR","File Cmd Manager","Command & Data Handling","File Command Manager",16,"False"
60003,"FILE_TIME_MGR","File Time Manager","Command & Data Handling","File Time Manager",48,"False"
1012,"HWIO_CMD_MGR","HWIO Cmd Manager","Command & Data Handling","HWIO Command Manager",16,"False"
1013,"HWIO_TIME_MGR","HWIO Time Manager","Command & Data Handling","HWIO Time Manager",48,"False"
1062,"PLD_CMD_MGR","Payloads Cmd Manager","Command & Data Handling","Payloads Command Manager",16,"False"
1063,"PLD_TIME_MGR","Payloads Time Manager","Command & Data Handling","Payloads Time Manager",48,"False"
6100,"FJ_MGR","Sequence Engine","Command Sequencing","Sequence Engine Manager",12,"False"
9010,"FJ_ENG_00","Sequence Engine Engine 00","Command Sequencing","Sequence Engine Engine 00",200,"False"
9011,"FJ_ENG_01","Sequence Engine Engine 01","Command Sequencing","Sequence Engine Engine 01",200,"False"
9012,"FJ_ENG_02","Sequence Engine Engine 02","Command Sequencing","Sequence Engine Engine 02",200,"False"
9013,"FJ_ENG_03","Sequence Engine Engine 03","Command Sequencing","Sequence Engine Engine 03",200,"False"
9014,"FJ_ENG_04","Sequence Engine Engine 04","Command Sequencing","Sequence Engine Engine 04",200,"False"
9015,"FJ_ENG_05","Sequence Engine Engine 05","Command Sequencing","Sequence Engine Engine 05",200,"False"
9016,"FJ_ENG_06","Sequence Engine Engine 06","Command Sequencing","Sequence Engine Engine 06",200,"False"
9017,"FJ_ENG_07","Sequence Engine Engine 07","Command Sequencing","Sequence Engine Engine 07",200,"False"
9018,"FJ_ENG_08","Sequence Engine Engine 08","Command Sequencing","Sequence Engine Engine 08",200,"False"
9019,"FJ_ENG_09","Sequence Engine Engine 09","Command Sequencing","Sequence Engine Engine 09",200,"False"
9020,"FJ_ENG_10","Sequence Engine Engine 10","Command Sequencing","Sequence Engine Engine 10",200,"False"
9021,"FJ_ENG_11","Sequence Engine Engine 11","Command Sequencing","Sequence Engine Engine 11",200,"False"
9022,"FJ_ENG_12","Sequence Engine Engine 12","Command Sequencing","Sequence Engine Engine 12",200,"False"
9023,"FJ_ENG_13","Sequence Engine Engine 13","Command Sequencing","Sequence Engine Engine 13",200,"False"
9024,"FJ_ENG_14","Sequence Engine Engine 14","Command Sequencing","Sequence Engine Engine 14",200,"False"
9025,"FJ_ENG_15","Sequence Engine Engine 15","Command Sequencing","Sequence Engine Engine 15",200,"False"
9026,"FJ_ENG_16","Sequence Engine Engine 16","Command Sequencing","Sequence Engine Engine 16",200,"False"
9027,"FJ_ENG_17","Sequence Engine Engine 17","Command Sequencing","Sequence Engine Engine 17",200,"False"
9028,"FJ_ENG_18","Sequence Engine Engine 18","Command Sequencing","Sequence Engine Engine 18",200,"False"
9029,"FJ_ENG_19","Sequence Engine Engine 19","Command Sequencing","Sequence Engine Engine 19",200,"False"
