"APID","Order","Mnemonic","Long Name","Units","Start Byte","Length Bytes","Type","Item Description","Format"
430,0,"APM0_ISENABLED","Magnetic Torquers Set IsEnabled","bool","0","4","ENUM","Is this processor enabled?","%s"
430,1,"APM0_ESTTORQUE_BDYX","Magnetic Torquers Set EstTorque_BDYX","N*m","8","8","DFP","Estimated torque in the body frame this execution frame","%1.17g"
430,2,"APM0_ESTTORQUE_BDYY","Magnetic Torquers Set EstTorque_BDYY","N*m","16","8","DFP","Estimated torque in the body frame this execution frame","%1.17g"
430,3,"APM0_ESTTORQUE_BDYZ","Magnetic Torquers Set EstTorque_BDYZ","N*m","24","8","DFP","Estimated torque in the body frame this execution frame","%1.17g"
430,4,"APM0_CMDTRQ_BDYX","Magnetic Torquers Set CmdTrq_BDYX","N*m","32","8","DFP","Commanded torque in the body frame this execution frame","%1.17g"
430,5,"APM0_CMDTRQ_BDYY","Magnetic Torquers Set CmdTrq_BDYY","N*m","40","8","DFP","Commanded torque in the body frame this execution frame","%1.17g"
430,6,"APM0_CMDTRQ_BDYZ","Magnetic Torquers Set CmdTrq_BDYZ","N*m","48","8","DFP","Commanded torque in the body frame this execution frame","%1.17g"
430,7,"APM0_AVEPWTRQ_BDYX","Magnetic Torquers Set AvePwTrq_BDYX","N*m","56","8","DFP","Estimated torque in the body frame averaged over the command period","%1.17g"
430,8,"APM0_AVEPWTRQ_BDYY","Magnetic Torquers Set AvePwTrq_BDYY","N*m","64","8","DFP","Estimated torque in the body frame averaged over the command period","%1.17g"
430,9,"APM0_AVEPWTRQ_BDYZ","Magnetic Torquers Set AvePwTrq_BDYZ","N*m","72","8","DFP","Estimated torque in the body frame averaged over the command period","%1.17g"
430,10,"APM0_AVEPWDIPOLE_BDYX","Magnetic Torquers Set AvePwDipole_BDYX","A*m^2","80","8","DFP","Estimated dipole in the body frame averaged over the command period","%1.17g"
430,11,"APM0_AVEPWDIPOLE_BDYY","Magnetic Torquers Set AvePwDipole_BDYY","A*m^2","88","8","DFP","Estimated dipole in the body frame averaged over the command period","%1.17g"
430,12,"APM0_AVEPWDIPOLE_BDYZ","Magnetic Torquers Set AvePwDipole_BDYZ","A*m^2","96","8","DFP","Estimated dipole in the body frame averaged over the command period","%1.17g"
430,13,"APM0_DIPOLECMD_BDYX","Magnetic Torquers Set DipoleCmd_BDYX","A*m^2","104","8","DFP","Commanded dipole in the body frame this execution frame","%1.17g"
430,14,"APM0_DIPOLECMD_BDYY","Magnetic Torquers Set DipoleCmd_BDYY","A*m^2","112","8","DFP","Commanded dipole in the body frame this execution frame","%1.17g"
430,15,"APM0_DIPOLECMD_BDYZ","Magnetic Torquers Set DipoleCmd_BDYZ","A*m^2","120","8","DFP","Commanded dipole in the body frame this execution frame","%1.17g"
400,0,"APR0_ISENABLED","Reaction Wheels Set IsEnabled","bool","0","4","ENUM","Is this processor enabled?","%s"
400,1,"APR0_ESTTORQUE_BDYX","Reaction Wheels Set EstTorque_BDYX","N*m","8","8","DFP","Estimated torque produced by actuator set","%1.17g"
400,2,"APR0_ESTTORQUE_BDYY","Reaction Wheels Set EstTorque_BDYY","N*m","16","8","DFP","Estimated torque produced by actuator set","%1.17g"
400,3,"APR0_ESTTORQUE_BDYZ","Reaction Wheels Set EstTorque_BDYZ","N*m","24","8","DFP","Estimated torque produced by actuator set","%1.17g"
400,4,"APR0_CMDTRQ_BDYX","Reaction Wheels Set CmdTrq_BDYX","N*m","32","8","DFP","Commanded torque to actuator set","%1.17g"
400,5,"APR0_CMDTRQ_BDYY","Reaction Wheels Set CmdTrq_BDYY","N*m","40","8","DFP","Commanded torque to actuator set","%1.17g"
400,6,"APR0_CMDTRQ_BDYZ","Reaction Wheels Set CmdTrq_BDYZ","N*m","48","8","DFP","Commanded torque to actuator set","%1.17g"
400,7,"APR0_NULLCNTRLENABLED","Reaction Wheels Set NullCntrlEnabled","bool","56","4","ENUM","Enable state of the wheel null space controller","%s"
