"APID","Order","Mnemonic","Long Name","Units","Start Byte","Length Bytes","Type","Item Description","Format"
430,0,"APM0_AVEPWTRQ_BDYX","Magnetic Torquers Set AvePwTrq_BDYX","N*m","0","8","DFP","Estimated average torque produced by actuator set over the full pulse width period","%14.6f"
430,1,"APM0_AVEPWTRQ_BDYY","Magnetic Torquers Set AvePwTrq_BDYY","N*m","8","8","DFP","Estimated average torque produced by actuator set over the full pulse width period","%14.6f"
430,2,"APM0_AVEPWTRQ_BDYZ","Magnetic Torquers Set AvePwTrq_BDYZ","N*m","16","8","DFP","Estimated average torque produced by actuator set over the full pulse width period","%14.6f"
430,3,"APM0_AVEPWDIPOLE_BDYX","Magnetic Torquers Set AvePwDipole_BDYX","A*m^2","24","8","DFP","Estimated average dipole over the full pulse width period","%14.6f"
430,4,"APM0_AVEPWDIPOLE_BDYY","Magnetic Torquers Set AvePwDipole_BDYY","A*m^2","32","8","DFP","Estimated average dipole over the full pulse width period","%14.6f"
430,5,"APM0_AVEPWDIPOLE_BDYZ","Magnetic Torquers Set AvePwDipole_BDYZ","A*m^2","40","8","DFP","Estimated average dipole over the full pulse width period","%14.6f"
430,6,"APM0_ESTTORQUE_BDYX","Magnetic Torquers Set EstTorque_BDYX","N*m","48","8","DFP","Estimated torque produced by actuator set","%14.6f"
430,7,"APM0_ESTTORQUE_BDYY","Magnetic Torquers Set EstTorque_BDYY","N*m","56","8","DFP","Estimated torque produced by actuator set","%14.6f"
430,8,"APM0_ESTTORQUE_BDYZ","Magnetic Torquers Set EstTorque_BDYZ","N*m","64","8","DFP","Estimated torque produced by actuator set","%14.6f"
430,9,"APM0_TRQCMD_BDYX","Magnetic Torquers Set TrqCmd_BDYX","N*m","72","8","DFP","Commanded torque to actuator set","%14.6f"
430,10,"APM0_TRQCMD_BDYY","Magnetic Torquers Set TrqCmd_BDYY","N*m","80","8","DFP","Commanded torque to actuator set","%14.6f"
430,11,"APM0_TRQCMD_BDYZ","Magnetic Torquers Set TrqCmd_BDYZ","N*m","88","8","DFP","Commanded torque to actuator set","%14.6f"
430,12,"APM0_DIPOLECMD_BDYX","Magnetic Torquers Set DipoleCmd_BDYX","A*m^2","96","8","DFP","Body frame dipole command","%14.6f"
430,13,"APM0_DIPOLECMD_BDYY","Magnetic Torquers Set DipoleCmd_BDYY","A*m^2","104","8","DFP","Body frame dipole command","%14.6f"
430,14,"APM0_DIPOLECMD_BDYZ","Magnetic Torquers Set DipoleCmd_BDYZ","A*m^2","112","8","DFP","Body frame dipole command","%14.6f"
430,15,"APM0_CMDMODE","Magnetic Torquers Set CmdMode","none","120","4","ENUM","Command mode","%s"
400,0,"APR0_ESTTORQUE_BDYX","Reaction Wheels Set EstTorque_BDYX","N*m","0","8","DFP","Estimated torque produced by actuator set","%14.6f"
400,1,"APR0_ESTTORQUE_BDYY","Reaction Wheels Set EstTorque_BDYY","N*m","8","8","DFP","Estimated torque produced by actuator set","%14.6f"
400,2,"APR0_ESTTORQUE_BDYZ","Reaction Wheels Set EstTorque_BDYZ","N*m","16","8","DFP","Estimated torque produced by actuator set","%14.6f"
400,3,"APR0_TRQCMD_BDYX","Reaction Wheels Set TrqCmd_BDYX","N*m","24","8","DFP","Commanded torque to actuator set","%14.6f"
400,4,"APR0_TRQCMD_BDYY","Reaction Wheels Set TrqCmd_BDYY","N*m","32","8","DFP","Commanded torque to actuator set","%14.6f"
400,5,"APR0_TRQCMD_BDYZ","Reaction Wheels Set TrqCmd_BDYZ","N*m","40","8","DFP","Commanded torque to actuator set","%14.6f"
400,6,"APR0_NULLCNTRLENABLED","Reaction Wheels Set NullCntrlEnabled","bool","48","4","ENUM","Enable state of the wheel null space controller","%s"
400,7,"APR0_SPEEDCONTROLSTATE","Reaction Wheels Set SpeedControlState","none","52","4","ENUM","Commanded speed control state","%s"
401,0,"APR0_NULLMOMERRRW_Px","Null Space Control NullMomErrRW_Px","N*m*s","0","8","DFP","Null space controller wheel momentum errorRW_Px","%14.6f"
401,1,"APR0_NULLTRQRW_Px","Null Space Control NullTrqRW_Px","N*m","8","8","DFP","Null space controller wheel torque commandRW_Px","%14.6f"
401,2,"APR0_NULLMOMERRRW_Py","Null Space Control NullMomErrRW_Py","N*m*s","16","8","DFP","Null space controller wheel momentum errorRW_Py","%14.6f"
401,3,"APR0_NULLTRQRW_Py","Null Space Control NullTrqRW_Py","N*m","24","8","DFP","Null space controller wheel torque commandRW_Py","%14.6f"
401,4,"APR0_NULLMOMERRRW_Mz","Null Space Control NullMomErrRW_Mz","N*m*s","32","8","DFP","Null space controller wheel momentum errorRW_Mz","%14.6f"
401,5,"APR0_NULLTRQRW_Mz","Null Space Control NullTrqRW_Mz","N*m","40","8","DFP","Null space controller wheel torque commandRW_Mz","%14.6f"
600,0,"ATD_ADSTATE","AD_Summary ADState","none","0","4","ENUM","Is that attitude determined?","%s"
600,1,"ATD_QEST_CBI2BDY0","AD_Summary QEst_CBI2BDY0","none","8","8","DFP","Estimated attitude quaternion","%14.6f"
600,2,"ATD_QEST_CBI2BDY1","AD_Summary QEst_CBI2BDY1","none","16","8","DFP","Estimated attitude quaternion","%14.6f"
600,3,"ATD_QEST_CBI2BDY2","AD_Summary QEst_CBI2BDY2","none","24","8","DFP","Estimated attitude quaternion","%14.6f"
600,4,"ATD_QEST_CBI2BDY3","AD_Summary QEst_CBI2BDY3","none","32","8","DFP","Estimated attitude quaternion","%14.6f"
600,5,"ATD_WEST_BDYX","AD_Summary WEst_BDYX","rad/s","40","8","DFP","Estimated body rate","%14.6f"
600,6,"ATD_WEST_BDYY","AD_Summary WEst_BDYY","rad/s","48","8","DFP","Estimated body rate","%14.6f"
600,7,"ATD_WEST_BDYZ","AD_Summary WEst_BDYZ","rad/s","56","8","DFP","Estimated body rate","%14.6f"
600,8,"ATD_RATEBIAS_BDYX","AD_Summary RateBias_BDYX","rad/s","64","8","DFP","Estimated rate bias","%14.6f"
600,9,"ATD_RATEBIAS_BDYY","AD_Summary RateBias_BDYY","rad/s","72","8","DFP","Estimated rate bias","%14.6f"
600,10,"ATD_RATEBIAS_BDYZ","AD_Summary RateBias_BDYZ","rad/s","80","8","DFP","Estimated rate bias","%14.6f"
601,0,"ATD_RESIDBDYXSunSens_Mx","AD_Sens ResidBDYXSunSens_Mx","rad","0","8","DFP","Sensor residuals in the body frameSunSens_Mx","%14.6f"
601,1,"ATD_RESIDBDYYSunSens_Mx","AD_Sens ResidBDYYSunSens_Mx","rad","8","8","DFP","Sensor residuals in the body frameSunSens_Mx","%14.6f"
601,2,"ATD_RESIDBDYZSunSens_Mx","AD_Sens ResidBDYZSunSens_Mx","rad","16","8","DFP","Sensor residuals in the body frameSunSens_Mx","%14.6f"
601,3,"ATD_RESIDERRSunSens_Mx","AD_Sens ResidErrSunSens_Mx","bool","24","4","ENUM","Is there a residual error for this sensorSunSens_Mx","%s"
601,4,"ATD_MEASTIMESunSens_Mx","AD_Sens MeasTimeSunSens_Mx","s","32","8","DFP","Measurement time of sensor updateSunSens_Mx","%14.6f"
601,5,"ATD_UPDATEAVAILSunSens_Mx","AD_Sens UpdateAvailSunSens_Mx","bool","40","4","ENUM","Is update available for this sensorSunSens_Mx","%s"
601,6,"ATD_RESIDBDYXSunSens_Px","AD_Sens ResidBDYXSunSens_Px","rad","48","8","DFP","Sensor residuals in the body frameSunSens_Px","%14.6f"
601,7,"ATD_RESIDBDYYSunSens_Px","AD_Sens ResidBDYYSunSens_Px","rad","56","8","DFP","Sensor residuals in the body frameSunSens_Px","%14.6f"
601,8,"ATD_RESIDBDYZSunSens_Px","AD_Sens ResidBDYZSunSens_Px","rad","64","8","DFP","Sensor residuals in the body frameSunSens_Px","%14.6f"
601,9,"ATD_RESIDERRSunSens_Px","AD_Sens ResidErrSunSens_Px","bool","72","4","ENUM","Is there a residual error for this sensorSunSens_Px","%s"
601,10,"ATD_MEASTIMESunSens_Px","AD_Sens MeasTimeSunSens_Px","s","80","8","DFP","Measurement time of sensor updateSunSens_Px","%14.6f"
601,11,"ATD_UPDATEAVAILSunSens_Px","AD_Sens UpdateAvailSunSens_Px","bool","88","4","ENUM","Is update available for this sensorSunSens_Px","%s"
601,12,"ATD_RESIDBDYXSunSens_My","AD_Sens ResidBDYXSunSens_My","rad","96","8","DFP","Sensor residuals in the body frameSunSens_My","%14.6f"
601,13,"ATD_RESIDBDYYSunSens_My","AD_Sens ResidBDYYSunSens_My","rad","104","8","DFP","Sensor residuals in the body frameSunSens_My","%14.6f"
601,14,"ATD_RESIDBDYZSunSens_My","AD_Sens ResidBDYZSunSens_My","rad","112","8","DFP","Sensor residuals in the body frameSunSens_My","%14.6f"
601,15,"ATD_RESIDERRSunSens_My","AD_Sens ResidErrSunSens_My","bool","120","4","ENUM","Is there a residual error for this sensorSunSens_My","%s"
