"APID","Mnemonic","Long Name","Group","Description","Data Bytes","Variable Size"
430,"APM0_FSW_ACTPROC_MT","Magnetic Torquers Set","Actuator Sets","FSW_ActProc_MT Description",128,"False"
400,"APR0_FSW_ACTPROC_RW","Reaction Wheels Set","Actuator Sets","FSW_ActProc_RW Description",56,"False"
401,"APR0_WHEELSINSET","Null Space Control","Actuator Sets","FSW_ActProc_RW Description",48,"False"
600,"ATD_ADSUMMARY","AD_Summary","Attitude Determination","FSW_AttDetermination Description",88,"False"
601,"ATD_ADSENSORS","AD_Sens","Attitude Determination","FSW_AttDetermination Description",336,"False"
602,"ATD_ADINIT","AD_Init","Attitude Determination","FSW_AttDetermination Description",80,"False"
603,"ATD_ADDETAILS","AD_Details","Attitude Determination","FSW_AttDetermination Description",168,"False"
930,"CAT_FSW_CTRL_ATTITUDE","Attitude Control","Control","FSW_Ctrl_Attitude Description",168,"False"
900,"CEG_FSW_CTRL_ERRORGEN","Control Error Gen","Control","FSW_Ctrl_ErrorGen Description",64,"False"
920,"CFF_FSW_CTRL_FEEDFORWARD","Feed Fwd Control","Control","FSW_Ctrl_FeedForward Description",48,"False"
910,"CMC_FSW_CTRL_MOMENTUM","Momentum Control","Control","FSW_Ctrl_Momentum Description",96,"False"
610,"EPH_FSW_EPHEMERIS","EphemSummary","Ephemeris","FSW_Ephemeris Description",536,"False"
611,"EPH_PROPAGATOR","Propagator","Ephemeris","FSW_Ephemeris Description",8,"False"
800,"GID_FSW_GUIDANCE","Guidance","Guidance","FSW_Guidance Description",88,"False"
700,"MDC_FSW_MODECONTROLLER","Mode Control","Mode Control","FSW_ModeController Description",28,"False"
360,"SPG_FSW_SENPROC_GPS","All GPS","Sensor Sets","FSW_SenProc_GPS Description",208,"False"
340,"SPM_FSW_SENPROC_MAG","All Magnetometers","Sensor Sets","FSW_SenProc_MAG Description",48,"False"
300,"SPR_FSW_SENPROC_RTE","All Rate Sensors","Sensor Sets","FSW_SenProc_RTE Description",24,"False"
330,"SPS_FSW_SENPROC_SUN","All Sun Vector Sensors","Sensor Sets","FSW_SenProc_SUN Description",48,"False"
620,"VEH_FSW_VEHICLESTATE","Vehicle State","Vehicle State","FSW_VehicleState Description",320,"False"
1001,"MGO_MGR_ODYSSY","Manager ODySSy","Managers","MGR_ODySSy Description",4,"False"
443,"MTP3_FSC_ACTPROC_MT","MagCoil_Mx","Actuator Processing","FSC_ActProc_MT Description",16,"False"
444,"MTP4_FSC_ACTPROC_MT","MagCoil_My","Actuator Processing","FSC_ActProc_MT Description",16,"False"
441,"MTP1_FSC_ACTPROC_MT","MagCoil_Mz","Actuator Processing","FSC_ActProc_MT Description",16,"False"
442,"MTP2_FSC_ACTPROC_MT","MagCoil_Px","Actuator Processing","FSC_ActProc_MT Description",16,"False"
440,"MTP0_FSC_ACTPROC_MT","MagCoil_Py","Actuator Processing","FSC_ActProc_MT Description",16,"False"
412,"RWP2_FSC_ACTPROC_RW","RW_Mz","Actuator Processing","FSC_ActProc_RW Description",64,"False"
410,"RWP0_FSC_ACTPROC_RW","RW_Px","Actuator Processing","FSC_ActProc_RW Description",64,"False"
411,"RWP1_FSC_ACTPROC_RW","RW_Py","Actuator Processing","FSC_ActProc_RW Description",64,"False"
860,"GES_FSC_GUI_EIGENSLEW","EigenSlew","Guidance","FSC_Gui_EigenSlew Description",4,"False"
830,"GRD_FSC_GUI_RATEDAMP","RateDamp","Guidance","FSC_Gui_RateDamp Description",16,"False"
870,"GRS_FSC_GUI_RENDEZSLEW","RendezSlew","Guidance","FSC_Gui_RendezSlew Description",8,"False"
840,"GSA_FSC_GUI_SUNACQ","SunAcq","Guidance","FSC_Gui_SunAcq Description",32,"False"
850,"GTR_FSC_GUI_TRACKING","Tracking","Guidance","FSC_Gui_Tracking Description",104,"False"
341,"MSP0_FSC_SENPROC_MAG","Mag_FCHMC","Sensor Processing","FSC_SenProc_MAG Description",120,"False"
301,"RSP0_FSC_SENPROC_RTE","MPU_X","Sensor Processing","FSC_SenProc_RTE Description",72,"False"
302,"RSP1_FSC_SENPROC_RTE","MPU_Y","Sensor Processing","FSC_SenProc_RTE Description",72,"False"
303,"RSP2_FSC_SENPROC_RTE","MPU_Z","Sensor Processing","FSC_SenProc_RTE Description",72,"False"
321,"STP0_FSC_SENPROC_STR","Sinclair_STR","Sensor Processing","FSC_SenProc_STR Description",88,"False"
331,"SSP0_FSC_SENPROC_SUN","SunSens_Mx","Sensor Processing","FSC_SenProc_SUN Description",64,"False"
333,"SSP2_FSC_SENPROC_SUN","SunSens_My","Sensor Processing","FSC_SenProc_SUN Description",64,"False"
335,"SSP4_FSC_SENPROC_SUN","SunSens_Mz","Sensor Processing","FSC_SenProc_SUN Description",64,"False"
332,"SSP1_FSC_SENPROC_SUN","SunSens_Px","Sensor Processing","FSC_SenProc_SUN Description",64,"False"
334,"SSP3_FSC_SENPROC_SUN","SunSens_Py","Sensor Processing","FSC_SenProc_SUN Description",64,"False"
1002,"ACS_CMD_MGR","ADCS Cmd Manager","Command & Data Handling","ADCS Command Manager",16,"False"
1003,"ACS_TIME_MGR","ADCS Time Manager","Command & Data Handling","ADCS Time Manager",48,"False"
3000,"OCM0_SOLIS_DATA_COMM","ODY Comm System 1","ODySSy Data Management","SOLIS_Data_Comm Description",24,"False"
123,"CDT_CUSTOMDISTURBANCE","Custom Disturbance","Custom","CustomDisturbance Description",24,"False"
3500,"OSD_SOLIS_DATA_RECORDER","ODY Data Recorder","ODySSy Data Management","SOLIS_Data_Recorder Description",32,"False"
2300,"OEP_ODY_EPHEMERIS","ODY Ephemeris","ODySSy Ephemeris","ODY_Ephemeris Description",400,"False"
2200,"OEM_EOM_SUMMARY","ODY_EOM_Summary","ODySSy Dynamics","ODY_EquationsOfMotion Description",176,"False"
2201,"OEM_EOM_DETAILS","ODY_EOM_Details","ODySSy Dynamics","ODY_EquationsOfMotion Description",112,"False"
