"APID","Order","Mnemonic","Long Name","Units","Start Byte","Length Bytes","Type","Item Description","Format"
400,0,"APR0_ISENABLED","Reaction Wheels Set IsEnabled","bool","0","4","ENUM","Is this processor enabled?","%s"
400,1,"APR0_ESTTORQUE_BDYX","Reaction Wheels Set EstTorque_BDYX","N*m","8","8","DFP","Estimated torque produced by actuator set","%1.17g"
400,2,"APR0_ESTTORQUE_BDYY","Reaction Wheels Set EstTorque_BDYY","N*m","16","8","DFP","Estimated torque produced by actuator set","%1.17g"
400,3,"APR0_ESTTORQUE_BDYZ","Reaction Wheels Set EstTorque_BDYZ","N*m","24","8","DFP","Estimated torque produced by actuator set","%1.17g"
400,4,"APR0_CMDTRQ_BDYX","Reaction Wheels Set CmdTrq_BDYX","N*m","32","8","DFP","Commanded torque to actuator set","%1.17g"
400,5,"APR0_CMDTRQ_BDYY","Reaction Wheels Set CmdTrq_BDYY","N*m","40","8","DFP","Commanded torque to actuator set","%1.17g"
400,6,"APR0_CMDTRQ_BDYZ","Reaction Wheels Set CmdTrq_BDYZ","N*m","48","8","DFP","Commanded torque to actuator set","%1.17g"
400,7,"APR0_NULLCNTRLENABLED","Reaction Wheels Set NullCntrlEnabled","bool","56","4","ENUM","Enable state of the wheel null space controller","%s"
400,8,"APR0_SPEEDCONTROLSTATE","Reaction Wheels Set SpeedControlState","none","60","4","ENUM","Commanded speed control state","%s"
401,0,"APR0_NULLMOMERRReaction_Wheel_X","Null Space Control NullMomErrReaction_Wheel_X","N*m*s","0","8","DFP","Null space controller wheel momentum errorReaction_Wheel_X","%1.17g"
401,1,"APR0_NULLTRQReaction_Wheel_X","Null Space Control NullTrqReaction_Wheel_X","N*m","8","8","DFP","Null space controller wheel torque commandReaction_Wheel_X","%1.17g"
401,2,"APR0_NULLMOMERRReaction_Wheel_Y","Null Space Control NullMomErrReaction_Wheel_Y","N*m*s","16","8","DFP","Null space controller wheel momentum errorReaction_Wheel_Y","%1.17g"
401,3,"APR0_NULLTRQReaction_Wheel_Y","Null Space Control NullTrqReaction_Wheel_Y","N*m","24","8","DFP","Null space controller wheel torque commandReaction_Wheel_Y","%1.17g"
401,4,"APR0_NULLMOMERRReaction_Wheel_Z","Null Space Control NullMomErrReaction_Wheel_Z","N*m*s","32","8","DFP","Null space controller wheel momentum errorReaction_Wheel_Z","%1.17g"
401,5,"APR0_NULLTRQReaction_Wheel_Z","Null Space Control NullTrqReaction_Wheel_Z","N*m","40","8","DFP","Null space controller wheel torque commandReaction_Wheel_Z","%1.17g"
600,0,"ATD_ADSTATE","AD_Summary ADState","none","0","4","ENUM","Is that attitude determined?","%s"
600,1,"ATD_QEST_CBI2BDY0","AD_Summary QEst_CBI2BDY0","none","8","8","DFP","Estimated attitude quaternion","%1.17g"
600,2,"ATD_QEST_CBI2BDY1","AD_Summary QEst_CBI2BDY1","none","16","8","DFP","Estimated attitude quaternion","%1.17g"
600,3,"ATD_QEST_CBI2BDY2","AD_Summary QEst_CBI2BDY2","none","24","8","DFP","Estimated attitude quaternion","%1.17g"
600,4,"ATD_QEST_CBI2BDY3","AD_Summary QEst_CBI2BDY3","none","32","8","DFP","Estimated attitude quaternion","%1.17g"
600,5,"ATD_WEST_BDYX","AD_Summary WEst_BDYX","rad/s","40","8","DFP","Estimated body rate","%1.17g"
600,6,"ATD_WEST_BDYY","AD_Summary WEst_BDYY","rad/s","48","8","DFP","Estimated body rate","%1.17g"
600,7,"ATD_WEST_BDYZ","AD_Summary WEst_BDYZ","rad/s","56","8","DFP","Estimated body rate","%1.17g"
600,8,"ATD_RATEBIAS_BDYX","AD_Summary RateBias_BDYX","rad/s","64","8","DFP","Estimated rate bias","%1.17g"
600,9,"ATD_RATEBIAS_BDYY","AD_Summary RateBias_BDYY","rad/s","72","8","DFP","Estimated rate bias","%1.17g"
600,10,"ATD_RATEBIAS_BDYZ","AD_Summary RateBias_BDYZ","rad/s","80","8","DFP","Estimated rate bias","%1.17g"
602,0,"ATD_ALLOWAD","AD_Init AllowAD","bool","0","4","ENUM","Allow attitude to be determined?","%s"
602,1,"ATD_QFORMED","AD_Init QFormed","none","4","4","ENUM","Was a quaternion formed?","%s"
602,2,"ATD_CHKATTCONSIST","AD_Init ChkAttConsist","none","8","4","ENUM","Is the attitude consistent","%s"
602,3,"ATD_CHKTIMEWINDOW","AD_Init ChkTimeWindow","none","12","4","ENUM","Is the time window valid","%s"
602,4,"ATD_CHKSUNSENS","AD_Init ChkSunSens","none","16","4","ENUM","Are the sun sensors valid","%s"
602,5,"ATD_CHKMAGSENS","AD_Init ChkMagSens","none","20","4","ENUM","Are the magnetometers valid","%s"
602,6,"ATD_CHKHRZSENS","AD_Init ChkHrzSens","none","24","4","ENUM","Are the horizon sensors valid","%s"
602,7,"ATD_NUMVALFRAMES","AD_Init NumValFrames","none","28","4","ULI","Number of frames the attitude initialization solution has been valid","%d"
602,8,"ATD_NUMSTRTRKAVL","AD_Init NumStrTrkAvl","none","32","1","UB","Number of star trackers for init","%d"
602,9,"ATD_NUMSUNSENSAVL","AD_Init NumSunSensAvl","none","33","1","UB","Number of sun sensors for init","%d"
602,10,"ATD_NUMMAGSENSAVL","AD_Init NumMagSensAvl","none","34","1","UB","Number of magnetometers for init","%d"
602,11,"ATD_NUMHRZSENSAVL","AD_Init NumHrzSensAvl","none","35","1","UB","Number of horizon sensors for init","%d"
602,12,"ATD_SEPANGLE","AD_Init SepAngle","rad","40","8","DFP","Separation angle between vector sensors","%1.17g"
602,13,"ATD_QDELTA_OLD2NEW0","AD_Init Qdelta_OLD2NEW0","none","48","8","DFP","Q0 delta from the attitude update.  Can be used to reconstruct attitude estimate prior to acquisition","%1.17g"
602,14,"ATD_QDELTA_OLD2NEW1","AD_Init Qdelta_OLD2NEW1","none","56","8","DFP","Q1 delta from the attitude update.  Can be used to reconstruct attitude estimate prior to acquisition","%1.17g"
602,15,"ATD_QDELTA_OLD2NEW2","AD_Init Qdelta_OLD2NEW2","none","64","8","DFP","Q2 delta from the attitude update.  Can be used to reconstruct attitude estimate prior to acquisition","%1.17g"
602,16,"ATD_QDELTA_OLD2NEW3","AD_Init Qdelta_OLD2NEW3","none","72","8","DFP","Q3 delta from the attitude update.  Can be used to reconstruct attitude estimate prior to acquisition","%1.17g"
603,0,"ATD_COVAR00","AD_Details Covar00","rad^2","0","8","DFP","Element [0][0] of covariance matrix","%1.17g"
