"Function Code","Mnemonic","Long Name","Group","Number Of Parameters","Data Field Length Bytes","Description","Variable Size"
0x19c0000,"RWP2_RESET_SPD_FILTER","RW_Mz RESET_SPD_FILTER","Actuator Processing","0","0","Reset the speed controller","False"
0x19a0000,"RWP0_RESET_SPD_FILTER","RW_Px RESET_SPD_FILTER","Actuator Processing","0","0","Reset the speed controller","False"
0x19b0000,"RWP1_RESET_SPD_FILTER","RW_Py RESET_SPD_FILTER","Actuator Processing","0","0","Reset the speed controller","False"
0x1550000,"MSP0_RESET_FILTERS","Mag_FCHMC Reset Filters","Sensor Processing","0","0","Reset the filters","False"
0x1550001,"MSP0_INIT_CAL","Mag_FCHMC Start Bias Calibration","Sensor Processing","1","4","Starts/restarts/continues an onboard magnetometer bias calibration.","False"
0x1550002,"MSP0_FINISH_CAL","Mag_FCHMC Finish Bias Calibration","Sensor Processing","1","4","Pause or finish calibration and descide what to do with results","False"
0x1ae0000,"APM0_ENABLE_SET","Magnetic Torquers Set ENABLE_SET","Actuator Sets","0","0","Enable commanding and processing for this set processor","False"
0x1ae0001,"APM0_DISABLE_SET","Magnetic Torquers Set DISABLE_SET","Actuator Sets","0","0","Disable commanding and processing for this set processor","False"
0x1ae0002,"APM0_ENABLE_ACTUATOR","Magnetic Torquers Set ENABLE_ACTUATOR","Actuator Sets","1","4","Turn on the commanding and processing of a connected actuator","False"
0x1ae0003,"APM0_DISABLE_ACTUATOR","Magnetic Torquers Set DISABLE_ACTUATOR","Actuator Sets","1","4","Turn off the commanding and processing of a connected actuator","False"
0x1900000,"APR0_ENABLE_SET","Reaction Wheels Set ENABLE_SET","Actuator Sets","0","0","Enable commanding and processing for this set processor","False"
0x1900001,"APR0_DISABLE_SET","Reaction Wheels Set DISABLE_SET","Actuator Sets","0","0","Disable commanding and processing for this set processor","False"
0x1900002,"APR0_ENABLE_ACTUATOR","Reaction Wheels Set ENABLE_ACTUATOR","Actuator Sets","1","4","Turn on the commanding and processing of a connected actuator","False"
0x1900003,"APR0_DISABLE_ACTUATOR","Reaction Wheels Set DISABLE_ACTUATOR","Actuator Sets","1","4","Turn off the commanding and processing of a connected actuator","False"
0x1900004,"APR0_SET_WHEEL_STATE","Reaction Wheels Set SET_WHEEL_STATE","Actuator Sets","1","4","Set the wheel speed state for all wheels","False"
0x1900005,"APR0_ENABLE_NULLSPCCNTRL","Reaction Wheels Set ENABLE_NULLSPCCNTRL","Actuator Sets","0","0","Set the wheel null space controller state to enabled","False"
0x1900006,"APR0_DISABLE_NULLSPCCNTRL","Reaction Wheels Set DISABLE_NULLSPCCNTRL","Actuator Sets","0","0","Set the wheel null space controller state to disabled","False"
0x1900007,"APR0_SET_NULL_VEC_COMPONENT","Reaction Wheels Set SET_NULL_VEC_COMPONENT","Actuator Sets","2","16","Set the null vector component for a given reaction wheel in set","False"
0x2580000,"ATD_SET_ADSTATE_UNDET","Attitude Determination Set AD State to UNDETERMINED","Attitude Determination","0","0","Set the attitude determination state to undetermined","False"
0x2580001,"ATD_SET_ADSTATE_DETER","Attitude Determination Set AD State to DETERMINED","Attitude Determination","0","0","Set the attitude determination state to determined","False"
0x2580002,"ATD_SET_ADSTATE_DETER_VALUE","Attitude Determination Set AD State to DETERMINED at Q","Attitude Determination","4","32","Set the attitude determination state to determined with a specified attitude","False"
0x2580003,"ATD_RESET_RATE_BIAS","Attitude Determination Reset Rate Bias Estimate","Attitude Determination","0","0","Reset the rate bias estimate from Non-Volatile RAM","False"
0x2580004,"ATD_DISABLE_RATE_BIAS_ESTIMATION","Attitude Determination Disable Rate Bias Estimation","Attitude Determination","0","0","Disable estimation of rate bias.  Bias remains current value.","False"
0x2580005,"ATD_ENABLE_RATE_BIAS_ESTIMATION","Attitude Determination Enable Rate Bias Estimation","Attitude Determination","0","0","Enable estimation of rate bias","False"
0x2580006,"ATD_ENABLE_AD","Attitude Determination Allow AD Initialization","Attitude Determination","0","0","Allow attitude determination to initialize","False"
