"Function Code","Enum Name","Enum Value","Item Description","Parameter","Dependant Parameter","Dependant Enum Name"
0x2620000,"This_SC","0","This_SC","TABLE","NULL","NULL"
0x2620001,"This_SC","0","This_SC","TABLE","NULL","NULL"
0x2620002,"This_SC","0","This_SC","TABLE","NULL","NULL"
0x2620003,"GeneralTarget","0","GeneralTarget","TARGET","NULL","NULL"
0x2620003,"LLA_deg_m","0","LLA_deg_m","ARGTYPE","NULL","NULL"
0x2620003,"LLA_rd_m","1","LLA_rd_m","ARGTYPE","NULL","NULL"
0x2620003,"CBF_m","2","CBF_m","ARGTYPE","NULL","NULL"
0x2620003,"Centric_LLA_deg_m","3","Centric_LLA_deg_m","ARGTYPE","NULL","NULL"
0x2620003,"Centric_LLA_rd_m","4","Centric_LLA_rd_m","ARGTYPE","NULL","NULL"
0x2620004,"GeneralTarget","0","GeneralTarget","TARGET","NULL","NULL"
0x2620004,"LLA_deg_m","0","LLA_deg_m","ARGTYPE","NULL","NULL"
0x2620004,"LLA_rd_m","1","LLA_rd_m","ARGTYPE","NULL","NULL"
0x2620004,"CBF_m","2","CBF_m","ARGTYPE","NULL","NULL"
0x2620004,"Centric_LLA_deg_m","3","Centric_LLA_deg_m","ARGTYPE","NULL","NULL"
0x2620004,"Centric_LLA_rd_m","4","Centric_LLA_rd_m","ARGTYPE","NULL","NULL"
0x2620004,"LatLonAlt","0","LatLonAlt","SCANINTERPTYPE","NULL","NULL"
0x2620004,"XYZ","1","XYZ","SCANINTERPTYPE","NULL","NULL"
0x2620005,"FALSE","0","FALSE","ENABLED","NULL","NULL"
0x2620005,"TRUE","1","TRUE","ENABLED","NULL","NULL"
0x2bc0000,"Idle","0","Idle","IDLEMODE","NULL","NULL"
0x2bc0001,"Hold","0","Hold","HOLDMODE","NULL","NULL"
0x2bc0002,"RateDamp","0","RateDamp","RATEDAMPMODE","NULL","NULL"
0x2bc0003,"SunAcq","0","SunAcq","SUNACQMODE","NULL","NULL"
0x2bc0004,"EigenSlew","0","EigenSlew","SLEWMODE","NULL","NULL"
0x2bc0004,"RendezSlew","1","RendezSlew","SLEWMODE","NULL","NULL"
0x2bc0004,"InertialPoint","0","InertialPoint","TRACKMODE","NULL","NULL"
0x2bc0004,"SunTrack","1","SunTrack","TRACKMODE","NULL","NULL"
0x2bc0004,"NadirTrack","2","NadirTrack","TRACKMODE","NULL","NULL"
0x2bc0004,"VelocityTrack","3","VelocityTrack","TRACKMODE","NULL","NULL"
0x2bc0004,"MagFieldTrack","4","MagFieldTrack","TRACKMODE","NULL","NULL"
0x2bc0004,"TargetTrack","5","TargetTrack","TRACKMODE","NULL","NULL"
0x2bc0004,"InertialFixed","0","InertialFixed","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"SC2Sun","1","SC2Sun","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"SC2NadirDetic","2","SC2NadirDetic","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"SC2NadirCentric","3","SC2NadirCentric","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"SCVelocity","4","SCVelocity","CLOCKINGOPTION","NULL","NULL"
0x2bc0004,"SCMagField","5","SCMagField","CLOCKINGOPTION","NULL","NULL"
