"Function Code","Enum Name","Enum Value","Item Description","Parameter","Dependant Parameter","Dependant Enum Name"
0x1550001,"FALSE","0","FALSE","APPLYIFCONVERGED","NULL","NULL"
0x1550001,"TRUE","1","TRUE","APPLYIFCONVERGED","NULL","NULL"
0x1550002,"PAUSE","0","PAUSE","DISPOSITION","NULL","NULL"
0x1550002,"REJECT","1","REJECT","DISPOSITION","NULL","NULL"
0x1550002,"APPLY","2","APPLY","DISPOSITION","NULL","NULL"
0x1550002,"FORCE_APPLY","3","FORCE_APPLY","DISPOSITION","NULL","NULL"
0x1ae0002,"MagCoil_Py","0","MagCoil_Py","ID","NULL","NULL"
0x1ae0002,"MagCoil_Mz","1","MagCoil_Mz","ID","NULL","NULL"
0x1ae0002,"MagCoil_Px","2","MagCoil_Px","ID","NULL","NULL"
0x1ae0002,"MagCoil_Mx","3","MagCoil_Mx","ID","NULL","NULL"
0x1ae0002,"MagCoil_My","4","MagCoil_My","ID","NULL","NULL"
0x1ae0003,"MagCoil_Py","0","MagCoil_Py","ID","NULL","NULL"
0x1ae0003,"MagCoil_Mz","1","MagCoil_Mz","ID","NULL","NULL"
0x1ae0003,"MagCoil_Px","2","MagCoil_Px","ID","NULL","NULL"
0x1ae0003,"MagCoil_Mx","3","MagCoil_Mx","ID","NULL","NULL"
0x1ae0003,"MagCoil_My","4","MagCoil_My","ID","NULL","NULL"
0x1900002,"RW_Px","0","RW_Px","ID","NULL","NULL"
0x1900002,"RW_Py","1","RW_Py","ID","NULL","NULL"
0x1900002,"RW_Mz","2","RW_Mz","ID","NULL","NULL"
0x1900003,"RW_Px","0","RW_Px","ID","NULL","NULL"
0x1900003,"RW_Py","1","RW_Py","ID","NULL","NULL"
0x1900003,"RW_Mz","2","RW_Mz","ID","NULL","NULL"
0x1900004,"BYPASS","0","BYPASS","WHEELSTATE","NULL","NULL"
0x1900004,"COMPENSATE","1","COMPENSATE","WHEELSTATE","NULL","NULL"
0x1900004,"GOTO_SPEED","2","GOTO_SPEED","WHEELSTATE","NULL","NULL"
0x1900004,"HOLD_SPEED","3","HOLD_SPEED","WHEELSTATE","NULL","NULL"
0x1900004,"SPD_EXTERNAL","4","SPD_EXTERNAL","WHEELSTATE","NULL","NULL"
0x1900004,"CONSTANT_TORQUE","5","CONSTANT_TORQUE","WHEELSTATE","NULL","NULL"
0x1900007,"RW_Px","0","RW_Px","ID","NULL","NULL"
0x1900007,"RW_Py","1","RW_Py","ID","NULL","NULL"
0x1900007,"RW_Mz","2","RW_Mz","ID","NULL","NULL"
0x38e0000,"AlwaysDisabled","0","AlwaysDisabled","STATE","NULL","NULL"
